,username,album,artist,date_posted,url
0,"@joycelohy, @natasha_nts_",Confetti,Little Mix,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/4819b35e3d59d2cfc79c80007c9553a9.jpg
1,@munchdevil,Constant Image,Flasher,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/184e273016ee7d99a837688c78ea6562.jpg
2,"@f.ajyx, @keelalavertyy, @soofjaa, @_zegyed_",HELLBOY,Lil Peep,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/19befd0125f3129e2331998cd3d39052.jpg
3,@emma.gaglione,mama's boy,Lany,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/2282ed66c52ae4822d6c2d7358479bbf.jpg
4,@nignogsconfusedsexualityparty,Leave the Door Open,Bruno Mars,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/228b748205db0ad6187e2190cf6ea2e5.jpg
5,@randomcandysmuggler,DEMIDEVIL,Ashnikko,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/24c35b17d28deaacbd79f4e70f3f37c6.jpg
6,@jesswastken,Up the Bracket,The Libertines,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/0e43c781102ab3b729f3b04b0652612b.jpg
7,@eilapatriciacalma,CRYBABY,Melanie Martinez,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/28fae8a3c8fc4dbeb91d6132cbd2e464.jpg
8,@hsskittylove,Chaos Theory,Amon Tobin,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/338bd26080c046abbb2ddd3be1c15d99.jpg
9,"@acoustic.idiot, @sopiuzzi","10,000 Days",Tool,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/36d4694d7210f275bd067bcfc2073416.jpg
10,@underbane,Mechanical Bull (deluxe version),Kings of Leon,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/36fc3505c844458280653e3e644004b6.jpg
11,@laurenjerickson,Inside (The Songs),Bo Burnham,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/10ce8b3f446033d4bb52f59cb9567d5e.jpg
12,@yayyy____yayy,The Alchemist And Oh No Present Welcome To Los…,Various Artists,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/0b7b81d7b2edeacb5a61405aed4ebed6.jpg
13,"@julianiemeier, @anajulcarvalho, @mirjam_morandell, @totgeliebttt, @_caitlinpeterson_, @jennifer.muir, @camilllesald, @sa_wine_, @hazzalightsup, @evgenia.stf, @taliagabin, @hailey.millett, @fearlesszaynn, @marigarzon09, @raqueelftv, @malloriewindorski, @anaisabelicaram, @_lauram91",Walls,Louis Tomlinson,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/3917a1cda45ef69073b29ce35e2fd616.jpg
14,"@cocainecola._, @_bowman___, @__jeickell__",Tickets To My Downfall,Machine Gun Kelly,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/08d96f5f08c019d166aed6b033d95be4.jpg
15,@jordanslguay,Master of Puppets,Metallica,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/07f492a00c904cc6ccf868010be4d5a6.jpg
16,@andre.i0rio,Ultraviolence (Deluxe),Lana Del Rey,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/3bb99b111c5b4d39cd46d54b39ba8cb7.jpg
17,@uke.guy,Midnight Snack,HOMESHAKE,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/3cc7c17d4b87f1c2545d70c930786d5b.jpg
18,@ozkar_kiko,The Colour and the Shape,Foo Fighters,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/41ef2aab38184517a400b6193d61925d.jpg
19,"@_martamas, @esz2.0",Die Lit,Playboi Carti,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/43706b2486ea046dedc0b8bea20af955.jpg
20,@zero_sad_boi,Wish,The Cure,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/441d3ad62e70a33787458fbee9704127.jpg
21,@ro_agostinello,"Song Machine, Season One: Strange Timez (Deluxe)",Gorillaz,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/4673fde309ea28dbed337246f98557f9.jpg
22,"@saminnaei, @dani.zl",Lungs,Florence + the Machine,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/46def4fa25d2821f092448be01e639ea.jpg
23,@mallyteufel,Rumours,Fleetwood Mac,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/0b4716b42466ffa893ad3e3ab824318b.jpg
24,@lebo.the.kid,Yes Lawd!,Nxworries,2021-07-04 00:17:07.597696,https://lastfm.freetls.fastly.net/i/u/100s/470bd96ba3b5d1f963fe4eb367f69e98.jpg
25,@calebbuck006,Illinois,Sufjan Stevens,2021-07-04 14:02:30.150078,https://lastfm.freetls.fastly.net/i/u/100s/4884fbb2a3714e42cef5a1782e10c26e.jpg
26,@zikoeltobgy,Hotshot,Shaggy,2021-07-05 09:14:59.816189,https://lastfm.freetls.fastly.net/i/u/100s/5a5ba1b6aa1751c09e1a783e62b2dac4.jpg
